Student,LPIPS,SSIM
113590051.png,0,1
113590039.png,0.193206131,0.71721623
113370239.png,0.205490738,0.711759099
113590033.png,0.207787782,0.727589108
113590450.png,0.229415551,0.717796532
111590047.png,0.230267704,0.694180012
113590060.png,0.235791504,0.733061766
112590454.png,0.251846313,0.667860964
113590031.png,0.256124586,0.69553412
113590026.png,0.256188452,0.68525828
113590022.png,0.257077456,0.719366463
113590001.png,0.257298052,0.665363662
111590028.png,0.257353425,0.730352551
113590052.png,0.258420199,0.70557079
111590062.png,0.260693192,0.681661266
113590061.png,0.263503671,0.689752159
113590044.png,0.265198201,0.644864394
113590003.png,0.26911208,0.697563252
113590056.png,0.270470232,0.66761867
110590455.png,0.273093939,0.739485529
113590045.png,0.273309469,0.682204268
113590451.png,0.275605679,0.677667954
113590040.png,0.280682206,0.732624624
113590015.png,0.280753732,0.650234116
113590021.png,0.287155539,0.681495177
112590452.png,0.290137529,0.670802746
114054809.png,0.29216221,0.689548996
113AC1012.png,0.29934907,0.666110233
112590455.png,0.300408393,0.655910702
113590005.png,0.303188622,0.741998342
113590032.png,0.311227024,0.72002318
113AB0018.png,0.312478691,0.652835363
112590040.png,0.317233235,0.645117387
113590036.png,0.329650849,0.642906777
113590047.png,0.339536697,0.722103822
113590062.png,0.343275636,0.611953209
113590004.png,0.346103668,0.739606224
113590018.png,0.361289918,0.609740444
113590050.png,0.36689201,0.58507327
113590057.png,0.367608041,0.614054267
113590043.png,0.369322598,0.746924566
113590011.png,0.372147352,0.602964953
113590002.png,0.373028815,0.612087466
113590025.png,0.374106497,0.753262799
113590006.png,0.381753683,0.566482593
113590028.png,0.387947649,0.58368002
111590042.png,0.402237743,0.754914627
113590023.png,0.402829647,0.568957402
113590059.png,0.404841989,0.554432518
113590010.png,0.40889737,0.594686074
113590042.png,0.417410135,0.593106422
113590049.png,0.428457826,0.522355163
111590455.png,0.482772112,0.549067801
113590008.png,0.518742263,0.482446597
112590058.jpg,0.523330688,0.432847857
113590013.png,0.528762817,0.408823854
